threshold,Sharpe,Return [%],Max DD [%],# Trades
0.0002,4.227263644586294,471.95700301147474,-6.2888560801330655,181
0.00039999999999999996,4.1673966528542765,482.0602679479982,-6.851292804238673,175
0.0006,4.224472121644601,477.8427678918455,-6.736393774023353,171
0.0007999999999999999,4.08995432850777,443.32985636596646,-10.43841839903048,165
0.001,4.166361446691162,457.0349455664067,-10.543476052431922,157
0.0012000000000000001,3.925931147433804,408.41929515136695,-13.98315108012812,151
0.0014,3.8959654964676176,391.29631610107396,-13.66795770334026,145
0.0015999999999999999,3.7435787967949317,378.00553757812463,-14.168322548705891,137
0.0018,3.764632161419732,382.9215643371579,-14.211741385088072,129
0.002,3.7834795729624786,384.0780030310056,-14.20668881092324,122
