train_start,train_end,test_start,test_end,Sharpe,Return,MaxDD,Trades
2023-08-10,2025-05-27,2025-05-28,2025-06-26,0.0,0.051192711020608295,-0.03267204053501194,21
2023-08-10,2025-06-26,2025-06-27,2025-07-24,6.469612933992415e-16,0.03149691464903226,-0.032204648488676546,21
